name,kind,latitude,longitude,operator,beds,emergency,speciality
Senbagh Upazila Health Complex,hospital,22.9956181266884,91.232752044333,,,,
Nishad Medico,pharmacy,22.3602072533193,91.8329961400235,,,,
"Zibon Homoeo Hall, Homeopathic pharmacy",pharmacy,23.9668740905855,90.3803347874491,,,,
Atlas Physiotheraphy,clinic,24.2682458382844,89.926237387854,,,,
Alif Medicine,pharmacy,25.7636674698984,89.2332052887567,,,,
"Parul Pharmacy, Boro Daroga Hat, Chittagong",pharmacy,22.6813380804643,91.6249501786392,,,,
Dinajpur Pharmacy,pharmacy,25.7643865533717,89.2322202474957,,,,
"Hemayetpur General Hospital, Hospital",hospital,23.7920881915459,90.2579255573221,,,,
Setu Pharmacy,pharmacy,23.8465279821057,90.2467064637434,,,,
"Bangladesh Humiopathik Porishod, Dhaka Jila",hospital,23.7110369480577,90.4242968637658,,,,
"নজরুল ক্লিনিক, বাগেরহাট",clinic,22.6563843165264,89.7982605623631,,,,
"Turkey Medical Services, Port Connecting Rd, Chattogram",laboratory,22.3401683859453,91.7886268708506,,,,
Hasan Drug House,pharmacy,23.7855535760128,90.412050316496,,,,
"Top 10 Specialised Hospital, Hospital",hospital,24.4868677498169,89.974064275905,,,,
Mohammad Pharmacy,pharmacy,23.769598455684,90.3620583828554,,,,
Bholarhat Upazila Health Complex,hospital,24.9363787396335,88.2218318598905,,,,
MS Drug House And Medicare,pharmacy,23.7842424787184,90.41121028216,,,,
Ramkrishnapur Community Clinic,clinic,23.2566796256452,88.9253266696242,,,,
Ideal Hearing Centre,doctor,23.8097760188988,90.3680648546695,,,,
Seba Plus Pharmacy,pharmacy,23.755798238842,90.41116267295,,,,
Al Noor Diagonestics Center,clinic,24.4377664772074,90.7800681688892,,,,
Gouripur Upazila Health Complex,hospital,24.7711853420428,90.5693993423637,,,,
Islamia Pharmacy,pharmacy,23.7560026734604,90.4075445406261,,,,
